Nom du commerce;Adresse;Code postal;Type de commerce;Fabriqué à Paris;Services;Description;Précisions;Site internet;Téléphone;Mail;geo_shape;geo_point_2d
Le boudoir de caroline;43 rue Delambre;75014;Autre;non;Retrait de commandes en magasin;L’univers du cadeau. Une jolie sélection d’articles raffinés. Tout pour faire plaisir et se faire plaisir à prix doux;;;06 26 42 30 55;leboudoirdecaroline5@gmail.com;"{""coordinates"": [2.3254454154244337, 48.841273982113655], ""type"": ""Point""}";48.841273982113655, 2.3254454154244337
SAPORI D'ITALIA;42bis rue Friant;75014;Restaurant ou traiteur;non;Retrait de commandes en magasin;L'Italie à votre porte... merci de commander par téléphone;;;01 53 90 74 93;sapori_d_italia@hotmail.fr;"{""coordinates"": [2.3233341687528006, 48.824204193312745], ""type"": ""Point""}";48.824204193312745, 2.3233341687528006
Le 12-15;39 rue de Caumartin;75009;Restaurant ou traiteur;non;Retrait de commandes en magasin;"PLATS A EMPORTER LES MARDI ET JEUDI MIDI UNIQUEMENT A RETIRER SUR PLACE
COMMANDER UN PLAT FRAIS 01 40 17 00 98";;<Nul>;01 40 17 00 98;1215caumartin@gmail.com;"{""coordinates"": [2.3281607993033306, 48.87245143956551], ""type"": ""Point""}";48.87245143956551, 2.3281607993033306
Café Carbón;14 rue Charlot;75003;Restaurant ou traiteur;non;Livraisons à domicile, Retrait de commandes en magasin;Restaurant, burger, fried chicken, livraison, take away;;https://www.carbonparis.com;01 42 72 49 12;info@carbonparis.com;"{""coordinates"": [2.361266179161813, 48.86169092020673], ""type"": ""Point""}";48.86169092020673, 2.361266179161813
Chez Fred;2 rue Lallier;75009;Restaurant ou traiteur;non;Retrait de commandes en magasin;Restaurant de quartier proposant au choix poké bowl's ( une base de riz thaï, une protéïne et topping au choix), bagel's, club sandwich's. Les produits sont frais et préparés à la demande de 11h à 21h;;<Nul>;06 28 09 51 45;belgacemfoued6@gmail.com;"{""coordinates"": [2.341022861394643, 48.88122359989492], ""type"": ""Point""}";48.88122359989492, 2.341022861394643
Pasta Luna;15 rue de Mézières;75006;Restaurant ou traiteur;non;Livraisons à domicile;;;;01 45 44 32 02;;"{""coordinates"": [2.3302115007962527, 48.85020591993278], ""type"": ""Point""}";48.85020591993278, 2.3302115007962527
Maison Plisson;93 Boulevard Beaumarchais;75003;Alimentation générale et produits de première nécessité;non;Livraisons à domicile;marchés frais + épicerie + cave à vins;;https://www.lamaisonplisson.com;;;"{""coordinates"": [2.367317507530233, 48.859606554495564], ""type"": ""Point""}";48.859606554495564, 2.367317507530233
LES MENUS SERVICES;10 rue du PIC de BARRETTE;75015;Restaurant ou traiteur;non;Livraisons à domicile;Spécialiste du portage de repas aux personnes âgées et dépendantes. Possibilité d'adapter les repas aux régimes prescrits (sans sel, diabète, mixé...);;https://www.les-menus-services.com;01 78 09 52 30;paris-sud-ouest@les-menus-services.com;"{""coordinates"": [2.277066108282367, 48.841938682791174], ""type"": ""Point""}";48.841938682791174, 2.277066108282367
Bio marchés saint germain;4 rue lobineau;75006;Primeur;non;Livraisons à domicile;"Fruits et légumes bio
 Fromages bio";;;07 50 86 33 64;;"{""coordinates"": [2.336443279542982, 48.85184723900314], ""type"": ""Point""}";48.85184723900314, 2.336443279542982
CHAO;108 boulevard de la Villette;75019;Alimentation générale et produits de première nécessité;non;Livraisons à domicile;;;;07 69 36 90 66;lchao0605@gmail.com;"{""coordinates"": [2.371678042423775, 48.87709709870893], ""type"": ""Point""}";48.87709709870893, 2.371678042423775
Pharmacie Homéopathique de l'Europe;31 rue d'Amsterdam;75008;Pharmacies et parapharmacies;non;Livraisons à domicile;Spécialiste des thérapeutiques naturelles et des préparations;;https://www.pharmaciehomeo.com/;01 48 74 74 91;info@pharmaciehomeo.net;"{""coordinates"": [2.3268772642419218, 48.878622370800336], ""type"": ""Point""}";48.878622370800336, 2.3268772642419218
Tribolet;54 rue Montorgeuil;75002;Boucherie - charcuterie - rôtisserie;non;Livraisons à domicile;Rôtisserie;;;06 74 67 97 61;;"{""coordinates"": [2.3469100182501426, 48.864866596568355], ""type"": ""Point""}";48.864866596568355, 2.3469100182501426
Moelleux et Fondants;47 avenue Auguste Blanqui;75013;Boulangerie - pâtisserie;non;Livraisons à domicile;;;;06 63 05 82 61;;"{""coordinates"": [2.350770523993382, 48.829548051918735], ""type"": ""Point""}";48.829548051918735, 2.350770523993382
La cave des Chevaliers;9 rue Jonas;75013;Caviste - Brasserie;non;Livraisons à domicile;Caviste;;;06 79 43 67 52;;"{""coordinates"": [2.3510585751883677, 48.82877299463862], ""type"": ""Point""}";48.82877299463862, 2.3510585751883677
Franck Gholami;96 bis rue Lemercier;75017;Restaurant ou traiteur;non;Livraisons à domicile;Traiteur italien;;;06 68 50 97 54;;"{""coordinates"": [2.319280136077402, 48.88936660689195], ""type"": ""Point""}";48.88936660689195, 2.319280136077402
tocquevilleprimeur;76 rue de tocqueville;75017;Primeur;non;Livraisons à domicile;;;;06 69 00 03 81;rabiaahamrouni10@gmail.com;"{""coordinates"": [2.3103312226407358, 48.88551926913811], ""type"": ""Point""}";48.88551926913811, 2.3103312226407358
La ferme saint Aubin;76 rue saint louis en l'isle;75004;Fromagerie;non;Livraisons à domicile;Posibilité de mettre sous-vide;;;01 43 54 74 54;lafermestaubin1@gmail.com;"{""coordinates"": [2.354718075908799, 48.85254060460543], ""type"": ""Point""}";48.85254060460543, 2.354718075908799
La Cave TWIL;31 rue Nollet;75017;Caviste - Brasserie;non;Livraisons à domicile;Vins en direct producteur - 25.000 références en circuit court - livraison très économique;;https://www.twil.fr;;Contact@twil.fr;"{""coordinates"": [2.3227008643823277, 48.8861009740169], ""type"": ""Point""}";48.8861009740169, 2.3227008643823277
CORNER DU FROMAGER;130 rue de la Roquette;75011;Fromagerie;non;Livraisons à domicile;Fromagerie Crèmerie Epicerie fine Charcuterie Vins;;https://www.ollca.com/paris/boutiques/corner-du-fromager;01 43 56 12 40;contact@cornerdufromager.com;"{""coordinates"": [2.379946140474761, 48.85741421983906], ""type"": ""Point""}";48.85741421983906, 2.379946140474761
Eric Kayser;5 place de la Bourse;75002;Boulangerie - pâtisserie;non;Livraisons à domicile;;;https://www.maison-kayser.com/fr/boulangeries/100001018-bourse.html;01 42 44 10 30;;"{""coordinates"": [2.341455399344707, 48.868528390888166], ""type"": ""Point""}";48.868528390888166, 2.341455399344707
Eric Kayser;8 rue Monge;75005;Boulangerie - pâtisserie;non;Livraisons à domicile;;;https://www.maison-kayser.com/fr/boulangeries/100001001-8-monge.html;01 44 07 01 42;;"{""coordinates"": [2.3494390562412204, 48.849209073938106], ""type"": ""Point""}";48.849209073938106, 2.3494390562412204
BONNE FEMME;5 rue Marché ORDENER;75018;Alimentation générale et produits de première nécessité;non;Livraisons à domicile;"SERVIVE DE LIVRAISON ""SANS CONTACT"" DE FRUITS ET LEGUMES FRAIS AINSI QU4UNE OFFRE BOUCHERIE, CHARCUTERIE ET EPICERIE.";;https://www.bonnefemmetraiteur.com;06 75 23 09 56;abigail@bonnefemmetraiteur.com;"{""coordinates"": [2.334457867415617, 48.894356950232776], ""type"": ""Point""}";48.894356950232776, 2.334457867415617
Laurent Bouvet;36 rue du Château-d'Eau;75010;Fromagerie;non;Livraisons à domicile;;;;01 40 40 73 25;;"{""coordinates"": [2.3591995242280723, 48.87077165303655], ""type"": ""Point""}";48.87077165303655, 2.3591995242280723
BAILLEUL;Place de Passy;75016;Boucherie - charcuterie - rôtisserie;non;Livraisons à domicile;;;;01 45 24 20 53;;"{""coordinates"": [2.277585381967422, 48.857400457622624], ""type"": ""Point""}";48.857400457622624, 2.277585381967422
Burger & Fries;5 rue de la Roquette;75011;Restaurant ou traiteur;non;Livraisons à domicile;Click&Collect & Livraison Ubereats 7/7 de 11h30 à 14h30 et 18h30 à 22h30;;https://order.burger-fries.com;01 73 75 34 95;hugues@burger-fries.com;"{""coordinates"": [2.370784666693144, 48.853883479597265], ""type"": ""Point""}";48.853883479597265, 2.370784666693144
Rapid'Market;55 BD Pasteur;75015;Alimentation générale et produits de première nécessité;non;Livraisons à domicile;Produits frais et fruits et légumes Bio Dynamis rungis;;https://rapidmarket-supermarket.business.site/;01 73 75 96 43;;"{""coordinates"": [2.3138971996789364, 48.84183909690348], ""type"": ""Point""}";48.84183909690348, 2.3138971996789364
Lafitte;8 rue Jean du Bellay;75004;Épicerie fine;non;Livraisons à domicile;;;https://www.epicery.com/epiceries/lafitte;;msimon@lafitte.fr;"{""coordinates"": [2.3537650266286216, 48.85303301609895], ""type"": ""Point""}";48.85303301609895, 2.3537650266286216
Le Comptoir des Mers;1 rue de Turenne;75004;Poissonnerie;non;Livraisons à domicile;;;https://www.epicery.com/epiceries/comptoir-des-mers;;lecomptoirdesmers@gmail.com;"{""coordinates"": [2.363028930692196, 48.854849902807565], ""type"": ""Point""}";48.854849902807565, 2.363028930692196
Les vents du large;107 boulevard de Charonne;75011;Poissonnerie;non;Livraisons à domicile;"Votre poissonnerie sur le marché de Charonne 
Erwan, Akiko et Justin seront ravis de vous livrer";;;07 88 81 60 24;vdlerx@gmail.com;"{""coordinates"": [2.394515074385879, 48.855943470735205], ""type"": ""Point""}";48.855943470735205, 2.394515074385879
Nausikaa;15 rue de moscou;75008;Restaurant ou traiteur;non;Livraisons à domicile;;;;06 29 11 00 29;;"{""coordinates"": [2.3242892849888515, 48.880785844105354], ""type"": ""Point""}";48.880785844105354, 2.3242892849888515
Traiteur Saint-Quentin;85B Boulevard de Magenta;75010;Boucherie - charcuterie - rôtisserie;non;Livraisons à domicile;Charcuterie;;https://www.epicery.com/epiceries/traiteur-saint-quentin;;contact@coco2paris.fr;"{""coordinates"": [2.3556278840395612, 48.876416355076806], ""type"": ""Point""}";48.876416355076806, 2.3556278840395612
A BOUT DE FIL;14 rue michel Chasles;75012;Bricolage;non;Livraisons à domicile;Bricolage de mercerie !;;;06 83 36 35 72;mfvuillier@gmail.com;"{""coordinates"": [2.3740018274529624, 48.84744914593626], ""type"": ""Point""}";48.84744914593626, 2.3740018274529624
Traiteur Libanais Al Boustan;21 rue Montorgueil;75001;Boucherie - charcuterie - rôtisserie;non;Livraisons à domicile;;;https://www.epicery.com/epiceries/alboustan;;info@alboustan.fr;"{""coordinates"": [2.3464539992781352, 48.86401891868401], ""type"": ""Point""}";48.86401891868401, 2.3464539992781352
Traiteur Italien Delizius Mouffetard;134 rue Mouffetard;75005;Boucherie - charcuterie - rôtisserie;non;Livraisons à domicile;Charcuterie;;https://www.epicery.com/epiceries/delizius-mouffetard;;comptadelizius@orange.fr;"{""coordinates"": [2.349727404816463, 48.8397439070739], ""type"": ""Point""}";48.8397439070739, 2.349727404816463
Cler 4 Saisons;34 rue Cler;75007;Primeur;non;Livraisons à domicile;Fruits;;https://www.epicery.com/epiceries/cler-4-saisons;;tophalles@hotmail.fr;"{""coordinates"": [2.3062205697738234, 48.85693920211049], ""type"": ""Point""}";48.85693920211049, 2.3062205697738234
Julhès Paris;54 Rue du Faubourg Saint-Denis;75010;Épicerie fine;non;Livraisons à domicile;Brunch;;https://www.epicery.com/epiceries/julhes;;julhescomptabilite@gmail.com;"{""coordinates"": [2.3541629011772662, 48.872210960631385], ""type"": ""Point""}";48.872210960631385, 2.3541629011772662
Primeur bio poteau;28 Rue du Poteau;75018;Primeur;non;Livraisons à domicile;Bio, Fruits;;https://www.epicery.com/epiceries/primeur-bio-poteau;;mounir.beji@sfr.fr;"{""coordinates"": [2.3420615896532984, 48.89384192243854], ""type"": ""Point""}";48.89384192243854, 2.3420615896532984
Raffinati;74 Rue de Clignancourt;75018;Boucherie - charcuterie - rôtisserie;non;Livraisons à domicile;Charcuterie;;https://www.epicery.com/epiceries/raffinati;;contact@raffinati.fr;"{""coordinates"": [2.348370948583129, 48.889627236518066], ""type"": ""Point""}";48.889627236518066, 2.348370948583129
Traiteur Italien Tentazioni;35 rue Véron;75018;Boucherie - charcuterie - rôtisserie;non;Livraisons à domicile;Charcuterie;;https://www.epicery.com/epiceries/tentazioni;;daniele_leopardi@hotmail.fr;"{""coordinates"": [2.334578890741358, 48.885236988860825], ""type"": ""Point""}";48.885236988860825, 2.334578890741358
Fromagerie Riondet;3 Rue du Capitaine Ferber;75020;Fromagerie;non;Livraisons à domicile;Fromage;;https://www.epicery.com/epiceries/fromagerie-riondet;;fromagerie.riondet@gmail.com;"{""coordinates"": [2.4047155737295496, 48.8648943419205], ""type"": ""Point""}";48.8648943419205, 2.4047155737295496
Primeur Royal;59 Rue Raymond Losserand;75014;Primeur;non;Livraisons à domicile;Bio, Fruits;;https://www.epicery.com/epiceries/primeur-royal;;ismail.benthayer@neuf.fr;"{""coordinates"": [2.319334349028356, 48.83451028049095], ""type"": ""Point""}";48.83451028049095, 2.319334349028356
Le Verger de Falguière;46 Rue Falguière;75015;Primeur;non;Livraisons à domicile;Fromage;;https://www.epicery.com/epiceries/verger-falguiere;;lassad1984@hotmail.fr;"{""coordinates"": [2.3147224633782715, 48.84200733122525], ""type"": ""Point""}";48.84200733122525, 2.3147224633782715
Yogurt Factory Beaugrenelle;12 Rue Linois;75015;Restaurant ou traiteur;non;Livraisons à domicile;Glaces;;https://www.epicery.com/epiceries/yogurt-factory-beaugrenelle;;ouriel@yogurtfactory.fr;"{""coordinates"": [2.2825156089618903, 48.84855980050748], ""type"": ""Point""}";48.84855980050748, 2.2825156089618903
Philippe Conticini - Annonciation;42 rue de l'Annonciation;75016;Boulangerie - pâtisserie;non;Livraisons à domicile;Boulangerie - pâtisserie;;https://www.epicery.com/epiceries/conticini-annonciation;;annonciation@conticini.fr;"{""coordinates"": [2.2780491600888437, 48.85752991314304], ""type"": ""Point""}";48.85752991314304, 2.2780491600888437
Boucherie Centrale Lévis;26 Rue de Levis;75017;Boucherie - charcuterie - rôtisserie;non;Livraisons à domicile;;;https://www.epicery.com/epiceries/boucherie-centrale-levis;;Tassinkawa@hotmail.fr;"{""coordinates"": [2.315130372032194, 48.88262747600351], ""type"": ""Point""}";48.88262747600351, 2.315130372032194
PROXI Mr AGOUSSAL;84 Boulevard Mortier;75020;Alimentation générale et produits de première nécessité;non;Livraisons à domicile;"De Mardi à dimanche
De 8h a 21h
Fermer le lundi
Livraison a domicile possible dans un rayon de 1km";;;01 40 31 86 65;b-agoussal2006@hotmail.fr;"{""coordinates"": [2.40919597108566, 48.86963005941845], ""type"": ""Point""}";48.86963005941845, 2.40919597108566
Diligo;3 passage Saint Pierre Amelot;75011;Alimentation générale et produits de première nécessité;non;Livraisons à domicile;Nous sommes un service de livraison à vélo-cargo et souhaitons proposer nos services aux commerçants parisiens !;;https://www.diligo-solutions.com/;01 87 16 47 36;francois@diligo-solutions.com;"{""coordinates"": [2.368422105623143, 48.86231166433501], ""type"": ""Point""}";48.86231166433501, 2.368422105623143
La taquinerie;22 rue Juliette Dodu;75010;Caviste - Brasserie;non;Livraisons à domicile;"Aussi disponible panier primeur et épicerie 
contactez nous aussi sur instagram @lataquinerie   :)";;https://forms.gle/PL4cvdynkMqHPfW37;09 81 16 12 68;contact@leverretaquin.fr;"{""coordinates"": [2.368779726930179, 48.87597394274153], ""type"": ""Point""}";48.87597394274153, 2.368779726930179
Noglu;15 rue Basfroi;75011;Restaurant ou traiteur;non;Livraisons à domicile;Boulangerie, pâtisserie, plats à emporter, uniquement le mercredi et samedi;;http://www.noglu.fr;;Contact@noglu.fr;"{""coordinates"": [2.379625767144173, 48.854459782798], ""type"": ""Point""}";48.854459782798, 2.379625767144173
Da vittorio giordano;56 Rue de Vouillé;75015;Boucherie - charcuterie - rôtisserie;non;Livraisons à domicile;"Plat maison 
Lasagne , cannelloni ...
Charcuterie fromage italien 
Viande rôti : poulet fermier , souris d’agneau .
Par sms je vous envoi la carte";;;06 50 69 90 12;domi.giorda@gmail.com;"{""coordinates"": [2.3081173682000644, 48.83365373479417], ""type"": ""Point""}";48.83365373479417, 2.3081173682000644
Yves-Marie BASTIEN;place Baudoyer;75004;Caviste - Brasserie;non;Livraisons à domicile;"caviste sur le marché Bauboyer (4eme)
Vins, champagnes bieres, cidres,  fleur de sel, charcuterie de terroir
liste des produits sur demande par mail.";;;06 26 33 10 02;vinetc13@gmail.com;"{""coordinates"": [2.355606774544422, 48.85611727036831], ""type"": ""Point""}";48.85611727036831, 2.355606774544422
Cochon'Eye;96 bis rue Lemercier;75017;Boucherie - charcuterie - rôtisserie;non;Livraisons à domicile;Charcuterie;;https://www.epicery.com/epiceries/cochon-eye;;cochoneye@gmail.com;"{""coordinates"": [2.3191628264142383, 48.88937340345329], ""type"": ""Point""}";48.88937340345329, 2.3191628264142383
Chez Françoise;2 rue Jean et Paul Lerolle;75007;Restaurant ou traiteur;non;Livraisons à domicile, Retrait de commandes en magasin;restaurant traditionnel français;;https://www.chezfrancoise.com;01 47 05 49 03;contact@chezfrancoise.com;"{""coordinates"": [2.314301541308282, 48.861875818940725], ""type"": ""Point""}";48.861875818940725, 2.314301541308282
Au bon pêcheur;170 avenue Ledru Rollin;75011;Alimentation générale et produits de première nécessité;non;Livraisons à domicile;;;;06 88 12 20 56;Tarek976@hotmail.fr;"{""coordinates"": [2.3796173263714953, 48.85699939192068], ""type"": ""Point""}";48.85699939192068, 2.3796173263714953
Central Comics Paris;25 rue de l'Ambroisie;75012;Librairie;non;Livraisons à domicile, Retrait de commandes en magasin;Central-Comics is the fusion of 2 Paris's comic shops: Apo (K) Lyps & Diable Blanc... If you're looking for english comics in Paris, come to visit us!;;https://www.central-comics.com;09 52 78 22 71;contact@central-comics.com;"{""coordinates"": [2.385193244827116, 48.83456374565454], ""type"": ""Point""}";48.83456374565454, 2.385193244827116
Restaurant l’ecumoir;64 rue saint sabin;75011;Restaurant ou traiteur;non;Retrait de commandes en magasin;Tout est fait maison avec des produits frais;;instagram;06 15 05 17 24;Stephanie.coeurquetin@gmail.com;"{""coordinates"": [2.3686964103040307, 48.85947541907482], ""type"": ""Point""}";48.85947541907482, 2.3686964103040307
IM THAI GOURMET;8 Rue de Port Mahon;75002;Restaurant ou traiteur;non;Livraisons à domicile, Retrait de commandes en magasin;Spécialité Thaïlandaise, à Opéra PARIS 02. Ouvert depuis 2008.;;https://im-thaigourmet.com/;01 47 42 63 82;Stargourmet@qq.com;"{""coordinates"": [2.3341216836845584, 48.86952483699813], ""type"": ""Point""}";48.86952483699813, 2.3341216836845584
VIN ET MAREE MURAT EXELMANS;183 BLD MURAT ANGLE 2 RUE DAUMIER;75016;Restaurant ou traiteur;non;Livraisons à domicile, Retrait de commandes en magasin;Restaurant de poissons et fruits de mer : plateaux,  huitres Gillardeau, huîtres bio, saumon bio fumé, Saint-Jacques, et spécialiste du Baba au rhum;;https://vin-et-maree.restaurant/vin-et-maree-boutique/;01 46 47 91 39;vmmurat@orange.fr;"{""coordinates"": [2.2645652874793933, 48.839319915086016], ""type"": ""Point""}";48.839319915086016, 2.2645652874793933
Le Livre à Venir;88 rue Oberkampf;75011;Librairie;non;Livraisons à domicile, Retrait de commandes en magasin;Bouquiniste et galerie d’art africain, on y trouve aussi des disques vinyles.;;;06 88 83 61 81;Cpks@orange.fr;"{""coordinates"": [2.3767094934663735, 48.86542268508595], ""type"": ""Point""}";48.86542268508595, 2.3767094934663735
L Arc en Ciel;49 rue de Tolbiac;75013;Restaurant ou traiteur;non;Livraisons à domicile, Retrait de commandes en magasin;Restaurant couscous maison;;https://couscoustolbiac.fr;06 67 36 97 15;arcenciel.75013@gmail.com;"{""coordinates"": [2.3711345001362947, 48.82754245618755], ""type"": ""Point""}";48.82754245618755, 2.3711345001362947
Adeline Klam;54 boulevard Richard Lenoir;75011;Autre;non;Livraisons à domicile, Retrait de commandes en magasin;Adeline Klam, vous propose un large choix de papiers japonais et d'origami, décliné dans des gammes de couleurs exclusives Adeline Klam, ainsi qu'une grande variété d'articles de loisirs créatifs.;;https://www.adelineklam.com/;01 48 07 20 88;contact@adelineklam.com;"{""coordinates"": [2.3723433880644107, 48.85927172395127], ""type"": ""Point""}";48.85927172395127, 2.3723433880644107
Missià, l'épicerie corse;38 RUE DE ROCHECHOUART;75009;Épicerie fine;non;Livraisons à domicile, Retrait de commandes en magasin;"Epicerie fine corse, produits authentiques, sourcés. Direct producteurs artisanaux.
Charcuterie, fromages, terrines, miel, confitures, biscuits, vins, bière
Infos et listing produits dispo sur demande";;https://www.facebook.com/missiaparis;06 60 51 97 16;missiaparis@gmail.com;"{""coordinates"": [2.3456563044254652, 48.87908064478558], ""type"": ""Point""}";48.87908064478558, 2.3456563044254652
LA LIBRAIRIE DU CANAL;3 RUE EUGENE VARLIN;75010;Librairie;non;Livraisons à domicile, Retrait de commandes en magasin;"Librairie généraliste , avec 19000 références et gros rayons BDs, jeunesse, SH, beaux livres...
Ouverte lundi 13-20h, mardi-samedi 10-20h et dimanche 11-19h30";;http://www.lalibrairieducanal.fr;01 42 08 72 72;lalibrairieducanal@gmail.com;"{""coordinates"": [2.365145653855996, 48.87782652954764], ""type"": ""Point""}";48.87782652954764, 2.365145653855996
LE DRAGON SAVANT;36 - 42 Rue de la Villette;75019;Librairie;non;Retrait de commandes en magasin;Le Dragon savant est une librairie spécialisée jeunesse, nous proposons également des jouets d'éveil , des peluches ,  des jeux de construction , des jeux de société ...;;http://parislibrairie.fr;01 42 45 75 30;commandesdragon@gmail.com;"{""coordinates"": [2.3878804940467333, 48.87669607227714], ""type"": ""Point""}";48.87669607227714, 2.3878804940467333
Mamie bidoche;16 rue de candie;75011;Restaurant ou traiteur;non;Livraisons à domicile;"Mamie bidoche, c’est une maison de viandes crée par une mamie déjantée et terriblement attachante!
Des petits producteurs en circuits courts, un veggie ultra gourmand et des desserts maison...";;http://www.mamiebidoche.fr;01 45 49 06 12;Contact@artichef.fr;"{""coordinates"": [2.3801463697400598, 48.85123196739043], ""type"": ""Point""}";48.85123196739043, 2.3801463697400598
PRUNIER;15 place de la madeleine;75008;Épicerie fine;non;Livraisons à domicile, Retrait de commandes en magasin;A la boutique, vous trouverez les fameux caviars Prunier, saumons Balik côtoient désormais des produits frais proposés à la vente comme le foie gras, des produis a la truffe, des filets d’esturgeon;;http://www.prunier.com;06 30 14 15 81;BOUTIQUE@PRUNIER.COM;"{""coordinates"": [2.323821211004152, 48.87050905694668], ""type"": ""Point""}";48.87050905694668, 2.323821211004152
Kiosque Lulu dans ma rue Villiers;2 avenue de Villiers;75017;Autre;non;Livraisons à domicile;Ménage, bricolage, déménagement, travaux, dépannage informatique... Lulu dans ma rue déniche la perle rare de votre quartier pour vous prêter main forte !;;http://www.luludansmarue.org;01 73 74 89 52;monconcierge@luludansmarue.org;"{""coordinates"": [2.315932607940482, 48.881596829286515], ""type"": ""Point""}";48.881596829286515, 2.315932607940482
Musée d'art et d'histoire du Judaïsme;71, rue du Temple;75003;Librairie;non;Livraisons à domicile, Retrait de commandes en magasin;vec plus de 5000 titres (dont revues, BD, CD/DVD), la librairie du mahJ est un fonds de référence sur l’art, l’histoire, la littérature, la philosophie et, plus globalement, les cultures du judaïsme.;;https://www.mahj.org/fr/decouvrir-musee/la-librairie;01 53 01 86 49;librairie@mahj.org;"{""coordinates"": [2.355616511873034, 48.86095614029929], ""type"": ""Point""}";48.86095614029929, 2.355616511873034
Librairie Les buveurs d'encre;59 rue de Meaux;75019;Librairie;non;Retrait de commandes en magasin;Lundi – samedi : 10h-19h;;http://www.buveurs-dencre.com;01 42 00 48 63;librairielesbuveursdencre@wanadoo.fr;"{""coordinates"": [2.3736272999359835, 48.88168898891317], ""type"": ""Point""}";48.88168898891317, 2.3736272999359835
KazeKo;81 rue Daguerre;75014;Autre;non;Retrait de commandes en magasin;KazeKo vous propose des articles ecoresponsables pour la vie quotidienne. Remplacez vos produits à usage unique par des objets durables et réutilisables tels lunchboxes, gourdes, cotons lavables.;;http://www.kazekobyanais.com;09 81 30 14 89;kazekobyanais@gmail.com;"{""coordinates"": [2.3247889139212763, 48.835669557748076], ""type"": ""Point""}";48.835669557748076, 2.3247889139212763
Judith Benita;7 rue Pradier;75019;Artisanat d'art;non;Retrait de commandes en magasin;La boutique et studio de création de la créatrice Judith Benita. Le lieu où toutes nos collections sont imaginées et fabriquées.  À retrouver également sur www.judithbenita.com;Créatrice de bijoux;https://www.judithbenita.com;01 75 51 75 41;info@judithbenita.com;"{""coordinates"": [2.3812779123285575, 48.87502771288855], ""type"": ""Point""}";48.87502771288855, 2.3812779123285575
Le festiv’;51 rue Guy moquet;75017;Restaurant ou traiteur;non;Retrait de commandes en magasin;Plats du jour traditionnels, et à la carte : travers de porc façon barbecue, cantal burger, tartiflette auvergnate, lasagnes végétariennes...;;;09 67 39 16 29;steve24krono@yahoo.fr;"{""coordinates"": [2.32467033255333, 48.89251986029582], ""type"": ""Point""}";48.89251986029582, 2.32467033255333
Fleurs de prestige;17 rue de Chateaudun;75009;Fleuriste;non;Livraisons à domicile, Retrait de commandes en magasin;D'un haut niveau d'exigence, la Maison Fleurs de Prestige met son talent et sa parfaite maîtrise de l'art floral au service de ses clients. Chacune de ses créations florales est un bijou de perfection;;https://www.fleursdeprestige.fr;01 55 32 26 14;contact@fleursdeprestige.fr;"{""coordinates"": [2.3392448919605613, 48.875835075387336], ""type"": ""Point""}";48.875835075387336, 2.3392448919605613
Sezono;13 rue Jacques Louvel Tessier;75010;Restaurant ou traiteur;non;Livraisons à domicile, Retrait de commandes en magasin;"Cuisine durable et gourmande : bio, ultra-local, de saison !
Retrouvez nos plats et paniers de légumes à emporter ou en livraison sur resto.paris et sur place directement !";;https://www.resto.paris;09 84 31 22 68;Info@sezono.fr;"{""coordinates"": [2.3696678046535213, 48.871184967492454], ""type"": ""Point""}";48.871184967492454, 2.3696678046535213
CAFÉ LE COMMERCE;33 boulevard de reuilly;75012;Autre;non;;;Restaurant;;01 43 43 45 85;Samia-tigrine@hotmail.fr;"{""coordinates"": [2.392678176393165, 48.839474299996176], ""type"": ""Point""}";48.839474299996176, 2.392678176393165
ESPELETIA CAFÉ;52 Rue Davy;75017;Épicerie fine;non;Retrait de commandes en magasin;"Nous sommes une boutique de café colombien. Nous avons la vente à emporter de café (espresso, capuccino...) et de café en grains ou moulu. 

Nos cafés sont bien payés aux producteurs.";café colombien de qualité;;06 43 73 05 85;Contact@espeletiacafe.com;"{""coordinates"": [2.3233133131665054, 48.891696192547364], ""type"": ""Point""}";48.891696192547364, 2.3233133131665054
Bathroom Graffiti;4, rue de Sèvres;75006;Autre;non;Retrait de commandes en magasin;Concept-store prescripteur de tendances depuis 40 ans. Plongé dans un univers fun et coloré, Bathroom Graffiti propose une sélection de produits design toujours avec une note d'humour.;Boutique de cadeaux;https://www.bathroomgraffiti.com;01 45 48 08 01;sweety@bathroomgraffiti.com;"{""coordinates"": [2.3293491453886164, 48.85209996716796], ""type"": ""Point""}";48.85209996716796, 2.3293491453886164
Little Babel Food;10 rue Saint Paul;75004;Restaurant ou traiteur;non;Livraisons à domicile, Retrait de commandes en magasin;"Bonjour 
Notre établissement Little Babel vous propose la vente à emporter de pizza, salades et Burgers faits maison, nos tarifs sont réduits.
Boissons et desserts au menu.
Bienvenue !";;;06 09 51 97 16;lbfsaintpaul@gmail.com;"{""coordinates"": [2.3614383912248202, 48.85314701751445], ""type"": ""Point""}";48.85314701751445, 2.3614383912248202
Roussotto Vintage & Custom;13 bis rue Saint Maur;75011;Autre;non;Retrait de commandes en magasin;Eco concept store. Notre politique: zéro déchet. Nous recyclons des vêtements et accessoires de marque made in France d'abord. YSL,Vuitton,Dior,Darel, Chanel,Lacroix,Castelbajac,Gaultier. Objets déco;;http://www.roussotto.fr;07 66 36 27 12;elianedibong@yahoo.fr;"{""coordinates"": [2.38250504088057, 48.859585342786716], ""type"": ""Point""}";48.859585342786716, 2.38250504088057
